Entity,Code,Year,Share of the population who are religious
Senegal,SEN,2020,99.979294
Serbia,SRB,2010,98.77815
Serbia,SRB,2020,95.99113
Seychelles,SYC,2010,97.75706
Seychelles,SYC,2020,97.63955
Sierra Leone,SLE,2010,99.903625
Sierra Leone,SLE,2020,99.98796
Singapore,SGP,2010,83.3984
Singapore,SGP,2020,80.10392
Slovakia,SVK,2010,75.30627
Slovakia,SVK,2020,74.67033
Slovenia,SVN,2010,73.556
Slovenia,SVN,2020,67.73261
Solomon Islands,SLB,2010,99.707535
Solomon Islands,SLB,2020,99.672485
Somalia,SOM,2010,99.979034
Somalia,SOM,2020,99.98388
South Africa,ZAF,2010,94.1929
South Africa,ZAF,2020,96.877884
South America,OWID_SAM,2010,92.08667
South America,OWID_SAM,2020,87.7113
South Korea,KOR,2010,58.66052
South Korea,KOR,2020,51.73638
South Sudan,SSD,2010,99.55081
South Sudan,SSD,2020,99.5597
Spain,ESP,2010,81.030624
Spain,ESP,2020,73.64026
Sri Lanka,LKA,2010,99.9821
Sri Lanka,LKA,2020,99.93012
Sub-Saharan Africa (Pew),PEW_SSA,2010,96.912766
Sub-Saharan Africa (Pew),PEW_SSA,2020,97.40853
Sudan,SDN,2010,99.87445
Sudan,SDN,2020,99.43678
Suriname,SUR,2010,92.6273
Suriname,SUR,2020,91.890724
Sweden,SWE,2010,78.529175
Sweden,SWE,2020,71.09362
Switzerland,CHE,2010,79.915665
Switzerland,CHE,2020,69.234856
Syria,SYR,2010,98.06593
Syria,SYR,2020,98.01996
Taiwan,TWN,2010,77.226135
Taiwan,TWN,2020,76.908165
Tajikistan,TJK,2010,99.92545
Tajikistan,TJK,2020,99.92545
Tanzania,TZA,2010,97.822075
Tanzania,TZA,2020,96.52184
Thailand,THA,2010,99.9289
Thailand,THA,2020,99.987366
Togo,TGO,2010,92.43137
Togo,TGO,2020,91.98721
Tonga,TON,2010,99.71973
Tonga,TON,2020,99.418655
Trinidad and Tobago,TTO,2010,97.450226
Trinidad and Tobago,TTO,2020,97.55145
Tunisia,TUN,2010,99.62952
Tunisia,TUN,2020,99.55869
Turkey,TUR,2010,99.81739
Turkey,TUR,2020,97.471
Turkmenistan,TKM,2010,99.4922
Turkmenistan,TKM,2020,99.92811
Uganda,UGA,2010,99.984535
Uganda,UGA,2020,99.90512
Ukraine,UKR,2010,86.76028
Ukraine,UKR,2020,84.85543
United Arab Emirates,ARE,2010,99.69131
United Arab Emirates,ARE,2020,99.66416
United Kingdom,GBR,2010,71.21594
United Kingdom,GBR,2020,59.78184
United States,USA,2010,83.5452
United States,USA,2020,70.270004
United States Virgin Islands,VIR,2010,96.276276
United States Virgin Islands,VIR,2020,95.96832
Uruguay,URY,2010,63.73621
Uruguay,URY,2020,47.590195
Uzbekistan,UZB,2010,99.39568
Uzbekistan,UZB,2020,99.44801
Vanuatu,VUT,2010,98.91526
Vanuatu,VUT,2020,98.633545
Venezuela,VEN,2010,91.568924
Venezuela,VEN,2020,90.27225
Vietnam,VNM,2010,37.855167
Vietnam,VNM,2020,32.32635
Western Sahara,ESH,2010,99.71657
Western Sahara,ESH,2020,99.74705
World,OWID_WRL,2010,76.70783
World,OWID_WRL,2020,75.83811
Yemen,YEM,2010,99.924385
Yemen,YEM,2020,99.938446
Zambia,ZMB,2010,99.92061
Zambia,ZMB,2020,99.94025
Zimbabwe,ZWE,2010,87.5171
Zimbabwe,ZWE,2020,89.46011
